Name,EIN,Tax Year,Tax Period End,Form Type Filed,Contributions,Investment Income,Program Service Revenue,Total Revenue,Total Expenses,Total Assets,Total Liabilities,Net Assets
Bedford Citizen,460777549,2022,202212,1-manual,111471,0,34125,145596,151856,70567,0,70567
Bedford Citizen,460777549,2021,202112,1,101046,0,34220,135266,127219,76827,0,76827
Bedford Citizen,460777549,2020,202012,1,95580,0,22200,117780,98390,68780,0,68780
Bedford Citizen,460777549,2019,201912,1,65091,0,22300,87391,62988,49390,0,49390
Bedford Citizen,460777549,2018,201812,1,45069,0,0,45069,38252,24987,0,24987
Bedford Citizen,460777549,2017,201712,1,29270,0,0,29270,31717,18170,0,18170
Bedford Citizen,460777549,2016,201612,1,12745,0,0,12745,18937,20617,0,20617
Bedford Citizen,460777549,2015,201512,1,20363,0,42,20405,3586,26907,0,26907
Bedford Citizen,460777549,2014,201412,1,10883,0,0,10883,2528,10088,0,10088
Concord Independent Foundation Inc,863807140,2022,202212,0-manual,783545,0,63527,847072,100993,808584,62505,746079
Carlisle Communications Inc,237246801,2021,202107,0,81487,317,0,211614,213948,143354,21529,121825
Carlisle Communications Inc,237246801,2020,202007,1,78293,1569,0,179346,188744,134021,9714,124307
Carlisle Communications Inc,237246801,2019,201907,1-manual,45166,2216,0,193503,209551,149753,8705,133705
Carlisle Communications Inc,237246801,2018,201807,1,53341,1211,0,197283,183010,151208,1455,149753
Carlisle Communications Inc,237246801,2017,201707,0,58304,668,0,215830,197787,143751,8271,135480
Carlisle Communications Inc,237246801,2016,201607,1,45361,626,0,195275,199781,125708,8271,117437
Carlisle Communications Inc,237246801,2015,201507,1,63964,230,0,190028,195470,128607,6664,121943
Carlisle Communications Inc,237246801,2014,201407,1,45807,120,0,186439,193813,134362,6977,127385
Carlisle Communications Inc,237246801,2013,201307,1,58668,36,0,199402,182162,139571,4812,134759
Carlisle Communications Inc,237246801,2012,201207,1,40433,150,0,186956,189774,122507,4988,117519
Carlisle Communications Inc,237246801,2011,201107,1,34501,239,0,187394,201738,130285,9948,120337
Ipswich Local News Inc,843780597,2022,202212,0-manual,127339,2096,272886,402321,361234,257393,12951,244442
Ipswich Local News Inc,843780597,2021,202112,0,181324,288,242447,424985,299518,182231,1612,180619
Ipswich Local News Inc,843780597,2020,202012,0,108165,97,144817,253079,198059,56764,4241,52523
Ipswich Local News Inc,843780597,2019,201912,1,2260,0,297,2558,5055,7503,10000,-2497
New Bedford Light,862407296,2021,202112,0,993896,0,0,993896,313326,680570,0,680570
Massachussetts Media Fund Inc,834616910,2021,202112,0,148495,0,0,150576,226825,25004,0,25004
Massachussetts Media Fund Inc,834616910,2020,202012,0,291507,0,0,291507,200859,99172,0,99172
Massachussetts Media Fund Inc,834616910,2019,201912,1,30299,0,0,30299,22067,8232,0,8232